SITC_code,description,sector_code,stage,multiplier
S2-21,"Hides, skins and furskins, raw",,,
S2-211,"Hides and skins, excluding furs, raw",,,
S2-2111,"Bovine and equine hides, raw, whether or not split",,,
S2-2112,"Calf skins, raw, whether or not split",,,
S2-2114,"Goat and kid skins, raw, whether or not split",,,
S2-2116,"Sheep and lamb skin with the wool on, raw, whether or not split",,,
S2-2117,"Sheep and lamb skin without the wool, raw, whether or not split",,,
S2-2119,"Hides and skins, nes; waste and used leather",,,
S2-21191,"Waste and used leather; leather dust, powder and flour",,,
S2-21199,"Hides and skins nes, raw, whether or not split",,,
S2-212,"Furskins, raw",,,
S2-2120,"Furskins, raw",,,
S2-21201,"Mink skins, raw",,,
S2-21209,"Other furskins, raw",,,
S2-22,Oil seeds and oleaginous fruit,,,
S2-222,"Seeds and oleaginous fruit, whole or broken, for 'soft' fixed oil",,,
S2-2221,"Groundnuts, green",,,
S2-2222,Soya beans,,,
S2-2223,Cotton seeds,,,
S2-2224,Sunflower seeds,,,
S2-2225,Sesame seeds,,,
S2-2226,Rape and colza seeds,,,
S2-223,"Seeds and oleaginous fruit, whole or broken, for other fixed oils",,,
S2-2231,Copra,,,
S2-2232,Palm nuts and kernels,,,
S2-2234,Linseed,,,
S2-2235,Castor oil seeds,,,
S2-2238,"Oil seeds and oleaginous fruits, nes",,,
S2-2239,"Flour or meals of oil seeds or oleaginous fruit, non-defatted",,,
S2-23,Crude rubber (including synthetic and reclaimed),,,
S2-232,Natural rubber latex; rubber and gums,,,
S2-2320,Natural rubber latex; natural rubber and gums,,,
S2-23201,Natural rubber latex; pre-vulcanized natural rubber latex,,,
S2-23202,Natural rubber (other than latex),,,
S2-23203,"Balata, gutta-percha and similar natural gums",,,
S2-233,"Synthetic rubber, latex, etc; waste, scrap of unhardened rubber",,,
S2-2331,"Synthetic rubber, latex; factice derived from oils",,,
S2-23311,Polybutadiene-styrene latex,,,
S2-23312,Other synthetic rubber latex,,,
S2-23313,Polybutadiene rubber (BR),,,
S2-23314,Polychlorobutadiene rubber (CR),,,
S2-23315,Polybutadiene-styrene rubber (SBR),,,
S2-23316,Butyl rubber (IIR),,,
S2-23319,"Other synthetic rubbers, factice derived from oils",,,
S2-2332,"Reclaimed rubber, waste, scrap of unhardened rubber",,,
S2-23321,Reclaimed rubber,,,
S2-23322,"Scraps, powders and waste of unhardened rubber",,,
S2-24,Cork and wood,,,
S2-244,"Cork, natural, raw and waste",,,
S2-2440,"Cork, natural, raw and waste",,,
S2-24401,"Cork, natural, unworked, crushed or ground; waste cork",,,
S2-24402,"Cork, natural, in blocks, plates, sheets or strips",,,
S2-245,Fuel wood and wood charcoal,,,
S2-2450,Fuel wood and wood charcoal,,,
S2-24501,"Fuel wood, in logs, in billets, in twigs or in faggots",,,
S2-24502,"Wood charcoal, agglomerated or not",,,
S2-246,Pulpwood (including chips and wood waste),,,
S2-2460,Pulpwood (including chips and wood waste),,,
S2-24601,Pulpwood in the round or quarter-split,,,
S2-24602,Pulpwood in chips or particles,,,
S2-24603,Wood waste (including sawdust),,,
S2-247,Other wood in the rough or roughly squared,,,
S2-2471,"Sawlogs and veneer logs, of coniferous species",,,
S2-24711,"Sawlogs and veneer logs, of coniferous species; in the rough",,,
S2-24712,"Sawlogs and veneer logs, of coniferous species; roughly or half squared",,,
S2-2472,"Sawlogs and veneer logs, of non-coniferous species",,,
S2-24721,"Sawlogs and veneer logs, of non-coniferous species; in the rough",,,
S2-24722,"Sawlogs and veneer logs, of non-coniferous species; roughly or half squared",,,
S2-2479,"Pitprops, poles, piling, post and other wood in the rough, nes",,,
S2-248,"Wood, simply worked, and railway sleepers of wood",,,
S2-2481,Railway or tramway sleepers (ties) of wood,,,
S2-2482,"Wood of coniferous species, sawn, planed, tongued, grooved, etc",,,
S2-24821,"Wood of coniferous, sawn lengthwise, sliced or peeled",,,
S2-24822,"Wood of coniferous, planed, tongued, grooved, etc",,,
S2-2483,"Wood, non-coniferous species, sawn, planed, tongued, grooved, etc",,,
S2-24831,"Wood of non-coniferous, sawn lengthwise, sliced or peeled",,,
S2-24832,"Wood of non-coniferous, planed, tongued, grooved, etc",,,
S2-25,Pulp and waste paper,,,
S2-251,Pulp and waste paper,,,
S2-2511,"Waste paper and paperboard, etc",,,
S2-2512,Mechanical wood pulp,,,
S2-2516,"Chemical wood pulp, dissolving grades",,,
S2-2517,"Chemical wood pulp, soda or sulphate",,,
S2-25171,"Chemical wood pulp, soda or sulphate; unbleached",,,
S2-25172,"Chemical wood pulp, soda or sulphate; bleached or semi-bleached (other than dissolving grades)",,,
S2-2518,"Chemical wood pulp, sulphite",,,
S2-25181,"Chemical wood pulp, sulphite; unbleached",,,
S2-25182,"Chemical wood pulp, sulphite; bleached or semi-bleached (non-dissolving grades)",,,
S2-2519,Other cellulosic pulps,,,
S2-25191,Semi-chemical wood pulp,,,
S2-25192,"Pulp, other than wood pulp",,,
S2-26,Textile fibres (not wool tops) and their wastes (not in yarn),,,
S2-261,Silk,,,
S2-2613,Raw silk (not thrown),,,
S2-2614,Silk worm cocoons and silk waste,,,
S2-26141,Silk worm cocoons suitable for reeling,,,
S2-26142,"Silk waste, including cocoons unsuitable for reeling",,,
S2-263,Cotton,,,
S2-2631,"Raw cotton, excluding linters, not carded or combed",,,
S2-2632,Cotton linters,,,
S2-2633,"Cotton waste, not carded or combed",,,
S2-2634,"Cotton, carded or combed",,,
S2-264,"Jute, other textile bast fibres, nes, raw, processed but not spun",,,
S2-2640,"Jute, other textile bast fibres, nes, raw, processed but not spun",,,
S2-265,"Vegetable textile fibres, excluding cotton, jute, and waste",,,
S2-2651,"Flax and ramie, flax tow, ramie noils, and waste",,,
S2-26511,"Flax, raw or retted",,,
S2-26512,"Flax, broken, scutched, hackled, but not spun",,,
S2-26513,Flax tow and waste,,,
S2-26514,"Ramie, raw or processed but not spun, its noils and waste",,,
S2-2652,"True hemp, raw or processed but not spun, its tow and waste",,,
S2-2654,"Sisal, agave fibres, raw or processed but not spun, and waste",,,
S2-2655,"Manila hemp, raw or processed but not spun, its tow and waste",,,
S2-2659,"Vegetable textile fibres, nes, and waste",,,
S2-26591,Coir (coconut fibres) and coir waste,,,
S2-26599,"Other vegetable textile fibres, nes, and waste",,,
S2-266,Synthetic fibres suitable for spinning,,,
S2-2665,"Discontinuous synthetic fibres, not carded or combed",,,
S2-26651,"Discontinuous synthetic fibres, not carded or combed; polyamide",,,
S2-26652,"Discontinuous synthetic fibres, not carded or combed; polyester",,,
S2-26653,"Discontinuous synthetic fibres, not carded or combed; acrylic",,,
S2-26659,"Discontinuous synthetic fibres, not carded or combed; other",,,
S2-2666,Continuous filament tow for synthetic (discontinuous) fibres,,,
S2-26661,Continuous filament tow for synthetic (discontinuous) fibres; of polyamide fibres,,,
S2-26662,Continuous filament tow for synthetic (discontinuous) fibres; of polyester fibres,,,
S2-26663,Continuous filament tow for synthetic (discontinuous) fibres; of acrylic fibres,,,
S2-26669,Continuous filament tow for synthetic (discontinuous) fibres; of other synthetic fibres,,,
S2-2667,"Discontinuous synthetic fibres, carded or combed",,,
S2-26671,"Discontinuous synthetic fibres, carded or combed; polyamide",,,
S2-26672,"Discontinuous synthetic fibres, carded or combed; polyester",,,
S2-26673,"Discontinuous synthetic fibres, carded or combed; acrylic",,,
S2-26679,"Discontinuous synthetic fibres, carded or combed; other",,,
S2-267,"Other man-made fibres suitable for spinning, and waste",,,
S2-2671,Regenerated fibre suitable for spinning,,,
S2-26711,"Discontinuous regenerated fibre, not carded or combed",,,
S2-26712,Continuous filament tow for regenerated fibres (discontinuous),,,
S2-26713,"Discontinuous regenerated fibres, carded or combed",,,
S2-2672,"Waste of man-made fibres, not carded or combed",,,
S2-26721,"Waste of man-made fibres, not carded or combed; synthetic",,,
S2-26722,"Waste of man-made fibres, not carded or combed; regenerated",,,
S2-268,Wool and other animal hair (excluding tops),,,
S2-2681,Wool greasy or fleece-washed of sheep or lambs,,,
S2-2682,"Wool degreased, uncombed of sheep or lambs",,,
S2-2683,"Fine animal hair, not carded or combed",,,
S2-2685,"Horsehair and other coarse animal hair, not carded or combed",,,
S2-26851,Horsehair and horsehair waste,,,
S2-26859,"Other coarse animal hair, not carded or combed, nes",,,
S2-2686,"Waste of sheep's or lambs' wool, or of other animal hair, nes",,,
S2-26861,"Waste of sheep's or lambs' wool, or of other animal hair, nes; not pulled or garnetted",,,
S2-26862,"Waste of sheep's or lambs' wool, or of other animal hair, nes; pulled or garnetted",,,
S2-2687,"Sheep's or lambs' wool, or of other animal hair, carded or combed",,,
S2-269,Old clothing and other old textile articles; rags,,,
S2-2690,Old clothing and other old textile articles; rags,,,
S2-26901,"Bulk textile waste, old clothing, traded in bulk or in bales",,,
S2-26902,"Rags, scrap twine, cordage, rope and cables etc",,,
S2-27,Crude fertilizer and crude minerals,,,
S2-271,"Fertilizers, crude",,,
S2-2711,"Animal or vegetable fertilizer, crude",,,
S2-2712,Natural sodium nitrate,,,
S2-2713,"Natural calcium phosphates, natural aluminium, etc",,,
S2-27131,"Natural calcium phosphates, natural aluminium, etc; unground",,,
S2-27132,"Natural calcium phosphates, natural aluminium, etc; ground",,,
S2-2714,"Potassium salts, natural, crude",,,
S2-273,"Stone, sand and gravel",,,
S2-2731,"Building and monumental (dimension) stone, roughly squared, split",,,
S2-27311,"Slate, roughly worked",,,
S2-27312,"Marble, travertine, building stone, etc, roughly worked",,,
S2-27313,"Granite, porphyry, basalt, sandstone, etc, roughly worked",,,
S2-2732,"Gypsum, plasters, limestone flux and calcareous stone",,,
S2-27322,Limestone flux and calcareous stone,,,
S2-27323,Gypsum and anhydrite,,,
S2-27324,"Calcined gypsum, and plasters with a basis of calcium sulphate",,,
S2-2733,"Sands, excluding metal-bearing sands",,,
S2-2734,"Pebbles, gravel, crushed or broken stone, etc",,,
S2-274,Sulphur and unroasted iron pyrites,,,
S2-2741,"Sulphur (other than sublimed, precipitated or colloidal)",,,
S2-2742,"Iron pyrites, unroasted",,,
S2-277,"Natural abrasives, nes",,,
S2-2771,Industrial diamonds,,,
S2-2772,Other natural abrasives,,,
S2-27721,"Dust, powder of natural, synthetic precious or semiprecious stones",,,
S2-27722,"Pumice stone; emery; other natural abrasives, nes",,,
S2-278,Other crude minerals,,,
S2-2782,"Clay and other refractory minerals, nes",,,
S2-27821,"Clay (excluding expanded clays), andalusite, kyanite, etc",,,
S2-27822,"Graphite, natural",,,
S2-27823,Dolomite,,,
S2-27824,"Magnesium carbonate, natural",,,
S2-2783,Common salt; pure sodium chloride; salt liquors; sea water,,,
S2-2784,Asbestos,,,
S2-2785,"Quartz, mica, felspar, fluorspar, cryolite and chiolite",,,
S2-27851,"Natural quartz, quartzite",,,
S2-27852,Mica; mica waste,,,
S2-27853,"Cryolite and chiolite, natural",,,
S2-27854,"Felspar, leucite, nepheline and nepheline syenite; fluorspar",,,
S2-2786,"Slag, scalings, dross and similar waste, nes",,,
S2-27861,"Slag, dross, etc, from iron or steel manufacture",,,
S2-27862,"Slag and ash, nes (including kelp)",,,
S2-2789,"Minerals, crude, nes",,,
S2-27891,Chalk,,,
S2-27892,Natural barium sulphate or carbonate,,,
S2-27893,"Talc, natural steatite",,,
S2-27894,Crude natural borates and concentrates,,,
S2-27895,Siliceous earths,,,
S2-27896,"Bitumen and asphalt, natural; bituminous shale; tar sands, etc",,,
S2-27899,"Mineral substances, nes",,,
S2-28,Metalliferous ores and metal scrap,,,
S2-281,Iron ore and concentrates,,,
S2-2814,Roasted iron pyrites,,,
S2-2815,"Iron ore and concentrates, not agglomerated",,,
S2-2816,Iron ore agglomerates,,,
S2-282,Waste and scrap metal of iron or steel,,,
S2-2820,Waste and scrap metal of iron or steel,,,
S2-28201,Waste and scrap metal of iron or steel; of pig or cast iron,,,
S2-28202,Waste and scrap metal of iron or steel; of alloy steel,,,
S2-28209,Waste and scrap metal of iron or steel; of other iron or steel,,,
S2-286,Ores and concentrates of uranium and thorium,,,
S2-2860,Ores and concentrates of uranium and thorium,,,
S2-287,"Ores and concentrates of base metals, nes",,,
S2-2871,Copper ore and concentrates; copper matte; cement copper,,,
S2-28711,Copper ores and concentrates,,,
S2-28712,Copper matte; cement copper,,,
S2-2872,"Nickel ores and concentrates; nickel mattes, etc",,,
S2-28721,Nickel ores and concentrates,,,
S2-28722,"Nickel matte, sinters, etc",,,
S2-2873,Aluminium ores and concentrates (including alumina),,,
S2-28731,Aluminium ore and concentrate,,,
S2-28732,Alumina (aluminium oxide),,,
S2-2874,Lead ores and concentrates,,,
